month,train_samples,test_samples,threshold,no_trade_band,num_trades,hit_rate,avg_r,max_drawdown_r
2025-04,44,88,0.52,0.0,85.0,0.47058823529411764,-0.058823529411764705,12.0
2025-05,132,88,0.52,0.0,86.0,0.46511627906976744,-0.06976744186046512,14.0
2025-06,220,84,0.52,0.0,75.0,0.5066666666666667,0.013333333333333334,5.0
2025-07,304,92,0.52,0.03,82.0,0.5365853658536586,0.07317073170731707,6.0
2025-08,396,84,0.52,0.0,80.0,0.4625,-0.075,14.0
2025-09,480,88,0.52,0.04,68.0,0.5588235294117647,0.11764705882352941,5.0
2025-10,568,92,0.52,0.06,55.0,0.41818181818181815,-0.16363636363636364,13.0
2025-11,660,80,0.52,0.06,48.0,0.5833333333333334,0.16666666666666666,6.0
2025-12,740,88,0.52,0.06,57.0,0.5789473684210527,0.15789473684210525,6.0
2026-01,828,84,0.52,0.07,52.0,0.5192307692307693,0.038461538461538464,6.0
2026-02,912,80,0.52,0.06,48.0,0.5416666666666666,0.08333333333333333,5.0
2026-03,992,32,0.52,0.07,21.0,0.5238095238095238,0.047619047619047616,4.0
